ticker1,ticker2,Correlation,n,pval,Source_Cluster,Target_Cluster,Edge_Type
A,BDX,0.4458393570968962,60,0.00040185760312673214,0,0,Internal
A,DHR,0.44919773763410237,60,0.00035868825097966773,0,0,Internal
A,DOV,0.4186044975315268,60,0.0009685627836409426,0,1,External
A,GD,0.44405066669707843,60,0.00042672941977314754,0,0,Internal
A,IQV,0.5628317181912272,60,3.4836226160640165e-06,0,0,Internal
A,LH,0.4535085837768534,60,0.0003094682586633888,0,0,Internal
A,MTD,0.6176233694875867,60,1.8799696862555504e-07,0,0,Internal
A,PFE,0.4108944084905105,60,0.001226393449125832,0,0,Internal
A,RVTY,0.6124310184326136,60,2.5390769789809753e-07,0,0,Internal
A,STE,0.4848281008002096,60,9.966318442032284e-05,0,0,Internal
A,TECH,0.6026108838075884,60,4.4179697083259725e-07,0,0,Internal
A,TMO,0.6825569427803928,60,2.6151542487359346e-09,0,0,Internal
A,TXT,0.41514516279711083,60,0.0010775000944772339,0,0,Internal
A,VTRS,0.48587230132372494,60,9.578483624266228e-05,0,0,Internal
A,WAT,0.7739145951955568,60,6.606218951671535e-13,0,0,Internal
AAPL,AMAT,-0.43248556891829254,60,0.0006242789690892916,13,6,External
AAPL,ANET,-0.5048137789044967,60,4.557424960421061e-05,13,6,External
AAPL,APH,-0.4370696048832018,60,0.0005377577957922676,13,6,External
AAPL,AVGO,-0.41597759059397005,60,0.0010503239950968148,13,6,External
AAPL,CEG,-0.45228602719342254,60,0.00032276114247714225,13,6,External
AAPL,DLR,-0.5839656127916075,60,1.2033784890862955e-06,13,6,External
AAPL,EQIX,-0.4018896434154388,60,0.0016044264036379132,13,6,External
AAPL,EQT,-0.4703612097652644,60,0.0001705023033688938,13,6,External
AAPL,ETN,-0.5819878380447332,60,1.333473986439843e-06,13,6,External
AAPL,ETR,-0.4567852823834745,60,0.00027626320009844954,13,6,External
AAPL,HUBB,-0.4558769130590299,60,0.0002851266050702636,13,6,External
AAPL,IRM,-0.5287912177923482,60,1.6673567222993643e-05,13,6,External
AAPL,JBL,-0.43351706301613513,60,0.0006037795396391949,13,6,External
AAPL,KLAC,-0.4737100695512532,60,0.00015089335915373996,13,6,External
AAPL,KMI,-0.6029050670732373,60,4.346440919337274e-07,13,6,External
AAPL,LRCX,-0.4210581607120762,60,0.0008974223979262094,13,6,External
AAPL,MU,-0.46434632743917703,60,0.00021167529143499138,13,6,External
AAPL,NRG,-0.6213440908155,60,1.510622118616392e-07,13,6,External
AAPL,OKE,-0.41156885990145864,60,0.0012015989706072273,13,6,External
AAPL,ORCL,-0.5432038088137005,60,8.773230772617159e-06,13,6,External
AAPL,PEG,-0.590343555513215,60,8.602183678814311e-07,13,6,External
AAPL,PWR,-0.6524239258233971,60,2.1603034409864016e-08,13,6,External
AAPL,TRGP,-0.5145586805512257,60,3.056304788373299e-05,13,6,External
AAPL,TT,-0.5357318378675177,60,1.2283773295278423e-05,13,6,External
AAPL,WDC,-0.5320989866016896,60,1.4426216948338226e-05,13,6,External
AAPL,WMB,-0.585368110578638,60,1.1184302727010856e-06,13,6,External
ABBV,ABT,0.4328701435847324,60,0.0006165635718702843,2,0,External
ABBV,ADP,0.44832371331884713,60,0.0003694968779973858,2,2,Internal
ABBV,AEE,0.42117433226547935,60,0.0008941741489718269,2,2,Internal
ABBV,AEP,0.4675337854899021,60,0.00018884480688292904,2,2,Internal
ABBV,AMGN,0.4734371622564934,60,0.0001524104099635755,2,0,External
ABBV,AMT,0.44489566481951787,60,0.00041481045576667754,2,2,Internal
ABBV,ATO,0.4744828844158077,60,0.00014667212979393865,2,2,Internal
ABBV,AVB,0.49704745129601985,60,6.212708465296801e-05,2,2,Internal
ABBV,AVY,0.4369905782828488,60,0.0005391522359771524,2,0,External
ABBV,AWK,0.5273022903742105,60,1.778756801001624e-05,2,2,Internal
ABBV,BMY,0.4646773587332129,60,0.00020919204637678474,2,0,External
ABBV,CB,0.4289856370568875,60,0.0006986179851985583,2,2,Internal
ABBV,CCI,0.4961094061094163,60,6.446364149937835e-05,2,2,Internal
ABBV,CHD,0.4087840747369755,60,0.00130697274851107,2,2,Internal
ABBV,CI,0.4048496456635427,60,0.001469998066074553,2,0,External
ABBV,CME,0.41946814173536595,60,0.0009429630469541631,2,2,Internal
ABBV,CMS,0.4709364324546442,60,0.00016697641543728884,2,2,Internal
ABBV,CPT,0.4638403123107025,60,0.0002155232798457349,2,2,Internal
ABBV,D,0.5519964766271322,60,5.842621450395245e-06,2,2,Internal
ABBV,DOC,0.4743291076422835,60,0.0001475033573967411,2,2,Internal
ABBV,DRI,0.41401668310008544,60,0.0011153517779387875,2,2,Internal
ABBV,DTE,0.48809916069583115,60,8.797283215004382e-05,2,2,Internal
ABBV,DUK,0.5313167498765282,60,1.4930738808527973e-05,2,2,Internal
ABBV,ED,0.4677691277447645,60,0.00018725187878244957,2,2,Internal
ABBV,EQR,0.5081050239395871,60,3.987533345414346e-05,2,2,Internal
ABBV,ES,0.5180792424441365,60,2.63750478302013e-05,2,2,Internal
ABBV,ESS,0.4956276456071851,60,6.569485388308625e-05,2,2,Internal
ABBV,EVRG,0.4110852868084509,60,0.0012193300585594646,2,2,Internal
ABBV,EXC,0.5277843879858464,60,1.741953166106021e-05,2,2,Internal
ABBV,EXR,0.43280279870394334,60,0.0006179083877596908,2,2,Internal
ABBV,FRT,0.46547106910811853,60,0.00020334606273975526,2,2,Internal
ABBV,GIS,0.42653466457595607,60,0.0007553473599207955,2,2,Internal
ABBV,INVH,0.4651942530127978,60,0.0002053677421740215,2,2,Internal
ABBV,JNJ,0.464265407059731,60,0.00021228640207798203,2,2,Internal
ABBV,KIM,0.40208222011726835,60,0.0015953567439322875,2,2,Internal
ABBV,KMB,0.44056105725737377,60,0.00047931886236286944,2,2,Internal
ABBV,KR,0.42061678910012623,60,0.0009098607595479021,2,0,External
ABBV,LNT,0.42810823784633345,60,0.0007184672740052951,2,2,Internal
ABBV,MAA,0.5282544995341252,60,1.7067455329863014e-05,2,2,Internal
ABBV,MKC,0.4516849958545154,60,0.0003294850153520026,2,2,Internal
ABBV,MO,0.5188540336985387,60,2.552773731872039e-05,2,2,Internal
ABBV,MRK,0.43007421581127386,60,0.0006746811470893795,2,1,External
ABBV,NVDA,-0.4106996544582283,60,0.001233638141216992,2,6,External
ABBV,O,0.5821667814958427,60,1.3211828990014866e-06,2,2,Internal
ABBV,OTIS,0.4036227022860169,60,0.001524442932048478,2,0,External
ABBV,PFE,0.42860915722302406,60,0.0007070734827876591,2,0,External
ABBV,PG,0.4605536194693173,60,0.00024211313862231314,2,2,Internal
ABBV,PNW,0.4783169469147539,60,0.0001272851674559376,2,2,Internal
ABBV,PPL,0.5152298932024237,60,2.9719987471078842e-05,2,2,Internal
ABBV,PSA,0.5331842895019209,60,1.3752389029315599e-05,2,2,Internal
ABBV,SBAC,0.5207727621761304,60,2.353665943094348e-05,2,2,Internal
ABBV,SJM,0.43271011220972766,60,0.0006197635957298864,2,2,Internal
ABBV,SO,0.44231915299243757,60,0.0004521303685548101,2,2,Internal
ABBV,TSN,0.5538851953743875,60,5.345969787029896e-06,2,2,Internal
ABBV,UDR,0.523673489463173,60,2.0797977561089868e-05,2,2,Internal
ABBV,VICI,0.5426208243159183,60,9.009284560543604e-06,2,2,Internal
ABBV,VZ,0.4011440563991544,60,0.0016399779985292878,2,0,External
ABBV,WEC,0.4881091390621336,60,8.793918541038928e-05,2,2,Internal
ABBV,XEL,0.46000988826812256,60,0.00024679011702393334,2,2,Internal
ABT,ADP,0.5564669833749164,60,4.73047867166505e-06,0,2,External
ABT,AEE,0.4024806584751642,60,0.0015767374297135763,0,2,External
ABT,AEP,0.46796517752095534,60,0.0001859342976630286,0,2,External
ABT,ALLE,0.4069607092936567,60,0.0013803896589191728,0,0,Internal
ABT,AMCR,0.40878451044190117,60,0.0013069556324812712,0,0,Internal
ABT,AMGN,0.5148183510679528,60,3.0234306514415068e-05,0,0,Internal
ABT,AMT,0.4044253313078651,60,0.0014886262436051808,0,2,External
ABT,AVB,0.4431450887166913,60,0.0004398476022994278,0,2,External
ABT,AWK,0.432697752397014,60,0.0006200113698234162,0,2,External
ABT,AZO,0.4480125822806044,60,0.000373415432510325,0,0,Internal
ABT,BAX,0.4697102108194891,60,0.0001745747854876236,0,0,Internal
ABT,BDX,0.4934824884565718,60,7.144446536780769e-05,0,0,Internal
ABT,BIIB,0.4437873357896218,60,0.0004305068812883318,0,0,Internal
ABT,BMY,0.5447008715204418,60,8.193143273574561e-06,0,0,Internal
ABT,BR,0.5520461627728969,60,5.829023562204683e-06,0,2,External
ABT,BRO,0.44923394443704223,60,0.0003582467698856145,0,2,External
ABT,CAG,0.49637931330129814,60,6.37831759636592e-05,0,2,External
ABT,CBOE,0.4685746979030066,60,0.00018189190556675076,0,2,External
ABT,CHD,0.5936226003824157,60,7.218197576119815e-07,0,2,External
ABT,CL,0.5661311910248197,60,2.9652226411204077e-06,0,0,Internal
ABT,COR,0.4553118352753222,60,0.0002907703573190462,0,0,Internal
ABT,CPB,0.4871758993428777,60,9.113774492727653e-05,0,2,External
ABT,CTAS,0.4127162746855008,60,0.0011604509340969811,0,2,External
ABT,D,0.4928479655083894,60,7.323186250445729e-05,0,2,External
ABT,DGX,0.5024616416142232,60,5.0097656259267874e-05,0,2,External
ABT,DUK,0.4820247490089138,60,0.00011079986009363536,0,2,External
ABT,ED,0.44303762691349685,60,0.00044142836296314934,0,2,External
ABT,EFX,0.44133923666006547,60,0.0004671065640016088,0,0,Internal
ABT,ES,0.44221892116356426,60,0.00045364195178513385,0,2,External
ABT,EXC,0.48153691825629774,60,0.00011285067428718875,0,2,External
ABT,EXPD,0.41506710180230255,60,0.0010800807151350568,0,0,Internal
ABT,EXR,0.4119404684493969,60,0.0011881311443202192,0,2,External
ABT,FRT,0.4240698863698326,60,0.0008165622647019114,0,2,External
ABT,GIS,0.5526738674264937,60,5.65975472513751e-06,0,2,External
ABT,GPC,0.4420226222698127,60,0.0004566156121096741,0,0,Internal
ABT,HCA,0.443459241269394,60,0.0004352558683551381,0,0,Internal
