Cumulative_Return,Volatility,Sharpe_Ratio,Max_Drawdown,portfolio_type
-0.06125451992443798,0.12131341782271061,-0.129576420370159,-0.10609735343111792,min_eigenvector
-0.026081643938153376,0.12107645214134487,-0.052122502529266736,-0.08113162700437238,max_eigenvector
-0.06247012467497537,0.11007698431384765,-0.14653863201779074,-0.08895154235012526,weighted_sector
-0.07939325964061794,0.10213969324355397,-0.20405550821137666,-0.10819262309436606,random
-0.057630278283308134,0.10198824750578267,-0.14577402444896465,-0.0964730514817086,random
-0.05401657259584347,0.103712258947483,-0.1338083297996406,-0.09241207837650933,random
-0.05946892366489098,0.11252914619704,-0.13593814619684746,-0.09866588950971111,random
-0.05654670267238071,0.0977306568180964,-0.1493906164571435,-0.09021614732945749,random
-0.045116455578669834,0.10655293905721658,-0.10758156559902775,-0.07576273605835959,random
-0.06332166005292084,0.10137515976202675,-0.16198277236624997,-0.08758757406231588,random
-0.060198284481091324,0.10581426591732726,-0.14686997547192618,-0.08270637396547253,random
-0.08097242371896829,0.11479478280887954,-0.18464277211326804,-0.10993324255039771,random
-0.040261641025906125,0.1079330307095225,-0.09410335146871138,-0.0747745035921672,random
-0.018993749576861507,0.10080136906246193,-0.04557358342745465,-0.06815775113197697,random
-0.01814576293600767,0.09810162659162906,-0.044741355546340074,-0.05753480396524535,random
-0.04974661324945351,0.10497794453427282,-0.1211458564134663,-0.08612056648838495,random
-0.05793091108283066,0.10630403864132512,-0.14036506916497438,-0.08676817853685193,random
-0.04765558912910639,0.10238269417840247,-0.11887874352272161,-0.0838682258138237,random
-0.030819653965195926,0.10212027409518679,-0.07529610309700675,-0.06488355970543036,random
-0.06296425038623243,0.10287420653603346,-0.15858238928805832,-0.08877051666146363,random
-0.03393608367818335,0.1157121764914848,-0.07277925583062242,-0.08263979631272467,random
-0.060484837496464716,0.09933077591641647,-0.15766268248984028,-0.09356009310903601,random
-0.02347536911265502,0.09330866535568022,-0.06227415952942759,-0.07052945041753234,random
-0.053339500888484936,0.10244862944012066,-0.13375126870971588,-0.0891095555462984,random
-0.03721826358252123,0.09803728015955486,-0.0959807680615725,-0.07572863497111948,random
-0.056627690573737954,0.10864238975253415,-0.13394771562428323,-0.0992845778623137,random
-0.054412902230728255,0.09627369534626136,-0.14574156209106676,-0.08193731665228332,random
-0.04531589363450017,0.12182479675593949,-0.0936476649469453,-0.09044679965659097,random
-0.05448430098026258,0.09568032208746334,-0.14688220153378614,-0.07708865030660272,random
-0.04880917044331301,0.10371321446417432,-0.12026815780626798,-0.0878378036683457,random
-0.07413173160548325,0.10278499917060356,-0.188555696947058,-0.10542491968267376,random
-0.05647472280932797,0.10591441966962678,-0.13717773045894358,-0.08950717811125952,random
-0.05390033606591993,0.09946656930152843,-0.13947655601936287,-0.07278939894207648,random
-0.029960042707961043,0.11214049146360786,-0.06595414278100552,-0.0750077610467842,random
-0.01894570343502977,0.1194814737396767,-0.037274318723731444,-0.0785765980605656,random
-0.02861264081711068,0.11541617121712051,-0.060800782372138824,-0.08120979603971357,random
-0.04186780972722692,0.10431651717094485,-0.1017032128898747,-0.08483796699019686,random
-0.06589817181326829,0.11674032203870852,-0.14580940558058883,-0.10233402584470463,random
-0.052749426334554816,0.10299440403843088,-0.13146132848329656,-0.09091394234422223,random
-0.08658714994229921,0.11417171560833382,-0.19941187850782377,-0.12247080319675252,random
-0.0695217332790028,0.09643115162474694,-0.18821461718424987,-0.09679263099272528,random
-0.046785580587531905,0.11087224023803742,-0.10716610777292088,-0.08820225901432321,random
-0.03909743449599945,0.0975265116874122,-0.10164375002250296,-0.07278091585208912,random
-0.07035426737722583,0.11283685463544406,-0.16193552085811788,-0.10027609225524492,random
-0.06857840348173827,0.09847068594052458,-0.18156492081210676,-0.09455343963459173,random
-0.08821327519191369,0.09457263464204406,-0.24689845686701128,-0.11053473065589736,random
-0.03388502720271913,0.1021971249388044,-0.083166296459072,-0.06872499167445845,random
-0.04730085855638666,0.10585005730284806,-0.11387966115656975,-0.08621058880394228,random
-0.035937783587103755,0.11453201548841176,-0.07824183917403936,-0.07962648179895027,random
-0.056894670572237405,0.10231131810379865,-0.1433467759817993,-0.09416886197972496,random
-0.025457869732327998,0.10359689395388862,-0.06050491985026814,-0.07604638289394394,random
-0.08001751310777028,0.10622622253881056,-0.1975870046057838,-0.11657677635840002,random
-0.06149972542039961,0.09959193234528198,-0.16000274742302253,-0.08794526426125548,random
-0.04484141488408966,0.11238902478538793,-0.10098994051010349,-0.08476947923754707,random
-0.030614879367412584,0.10439479568518581,-0.07299798593361494,-0.07980753980968158,random
-0.06549131573941558,0.09492827281016128,-0.17964595383169513,-0.0865492450985601,random
-0.04907841607929042,0.11156429137077443,-0.11198467834059074,-0.09111006820317635,random
-0.060463717772988645,0.1034725949974752,-0.1510417509538494,-0.08431103971343867,random
-0.03181611074890878,0.11653708210063679,-0.06740413679514858,-0.08667540691503972,random
-0.04959257540244322,0.11057830352938414,-0.11429206383469075,-0.09224231563727014,random
-0.07557215072939405,0.11742240405516118,-0.1675893773257063,-0.10185552189213509,random
-0.05209506864020652,0.10379911225489281,-0.12868757984714183,-0.0900792654457856,random
-0.054966625020569704,0.10148157994129246,-0.13942390682496583,-0.09213649052000661,random
-0.037634781484431445,0.09784196048168077,-0.09731823482525132,-0.07194698151872658,random
-0.02449920989394716,0.09971346267439765,-0.06058347527992075,-0.06343527669153393,random
-0.010670673711564604,0.1172089142369016,-0.019796268845495932,-0.07033383242937352,random
-0.04147996680907462,0.09991679589728439,-0.10541978698591199,-0.07215687292981943,random
-0.05850932673619913,0.10004978633254961,-0.1511100225062713,-0.08170790051998633,random
-0.043643956864632405,0.10490607121545091,-0.10562283315992319,-0.08737167976965876,random
-0.04292808981989671,0.10360670367948423,-0.10517256048411283,-0.07982416072755227,random
-0.02556307486784748,0.10103085381161521,-0.062476165409623516,-0.062143525603652994,random
-0.033903105907801656,0.11293926478673237,-0.07466682371046947,-0.07711700019238099,random
-0.042221167058545395,0.10120343261803598,-0.10595514183240791,-0.07634979700419708,random
-0.02594546110247231,0.10301772151100623,-0.06212010430666888,-0.06254623262733205,random
-0.06554843127203591,0.10513877997586231,-0.1617420597391674,-0.09875885962153164,random
-0.0475893165003618,0.09900373590134841,-0.12297618574947267,-0.07802608113504361,random
-0.05889118397929416,0.10976720103155219,-0.13810493069027924,-0.09854911529184363,random
-0.04582702873136324,0.10455341925538866,-0.11158625961596134,-0.07944574774789592,random
-0.02552263018431289,0.1107800658878038,-0.05630469379142277,-0.06726573940603764,random
-0.06188711122723267,0.1049278520574004,-0.15254723801735817,-0.0786633344430776,random
-0.061320805245727916,0.09350554989751836,-0.1702873443134445,-0.08162315865621406,random
-0.06245403228374624,0.11211654339894367,-0.14371813811306747,-0.10150704274457312,random
-0.04230413053636928,0.09726315331429415,-0.11072575300410911,-0.08047820454045851,random
-0.042360986838242076,0.10868252261728742,-0.09856416130466346,-0.07869618335197925,random
-0.04181086160654823,0.11094079237289683,-0.09509313612062972,-0.06944211069577577,random
-0.036660475274280846,0.09608850561028369,-0.0965106023651348,-0.0639127495498566,random
-0.07658071792560395,0.1098433451027894,-0.18217642968377643,-0.10664974617997414,random
-0.0235036936448505,0.10847617488448008,-0.052763746271226646,-0.07492070778202753,random
-0.07979262381118335,0.09525795472405287,-0.2204040974104392,-0.10681046476710931,random
-0.025692856072105585,0.11308400888008949,-0.05541291847710864,-0.08096855831691274,random
-0.054350362490998005,0.0866181678978196,-0.16242521235144217,-0.07202122625605667,random
-0.03721085154291426,0.12077091109238101,-0.07661884906184308,-0.09195964771525023,random
-0.04370060807531173,0.10204856634034368,-0.10890537461430783,-0.07894916038240463,random
-0.06554746201855821,0.10555915254898375,-0.16107547728267932,-0.10151386070840485,random
-0.02683517747006603,0.10181992117045538,-0.06522657481848694,-0.06190681762431294,random
-0.023583115545147693,0.11220580968893429,-0.050966794418319625,-0.07681356696265129,random
-0.06302729554440967,0.10160285219968612,-0.1608151301153913,-0.0940730744496957,random
-0.05172548327641169,0.09846306622288481,-0.13499039873760962,-0.07534856015286984,random
-0.031228644395515315,0.10395381254906498,-0.0748969299372333,-0.06551459505502055,random
-0.06511722163557365,0.10997617835953265,-0.1532603120699652,-0.09903564188279002,random
-0.037928610560828635,0.0916339121447706,-0.1051623909031681,-0.06882810028967468,random
-0.05296127529438566,0.11708200073284013,-0.11530944946757743,-0.0952382417500739,random
-0.05566633405022137,0.10353987216375164,-0.13835376031471502,-0.0912083000022541,random
-0.04066946886325995,0.08902971909949817,-0.11660521007628348,-0.06890873046398183,random
-0.037982300245088196,0.10178721223285635,-0.09421635068343291,-0.06957687403449841,random
-0.07636978767615754,0.11783190367777299,-0.1688555507672308,-0.11596274911689375,random
-0.06343961783406071,0.11114546886335512,-0.14744864166957058,-0.09320763799475174,random
-0.057310119272895976,0.09320097079234858,-0.15915955671826418,-0.07996794058690693,random
-0.059986423167138536,0.10600652967234535,-0.14604719685379686,-0.08959009169050525,random
-0.06438893618665775,0.11785338042053452,-0.14085537213521943,-0.10030864720616739,random
-0.044773553952900946,0.11499085938002623,-0.09838519138411797,-0.0867242214738887,random
-0.081938398182132,0.10570775555755743,-0.20364789190110807,-0.10594728273553033,random
-0.033020731656990265,0.10065179190420805,-0.08226798310007763,-0.06490235308462633,random
-0.05298172665548373,0.1019487269857253,-0.13349565050945222,-0.0880216351894254,random
-0.044436986578053506,0.10022847385314812,-0.11296448259380625,-0.07612311679457262,random
-0.051147037750703506,0.10744105938335508,-0.121725478133821,-0.0923303225043266,random
-0.030488448595610507,0.11225425229168043,-0.06711818780729228,-0.07843109012675176,random
-0.0437128608653955,0.08502148343265487,-0.1319139371012366,-0.06726588363748198,random
-0.05377612935390763,0.10892582695514774,-0.1264936382424092,-0.09085472896606017,random
-0.03477451541935739,0.10604692515447338,-0.08213808372847536,-0.07029359336057694,random
-0.053986777349784076,0.10315726492021617,-0.13448645950255225,-0.08792686722196208,random
-0.05822981036498698,0.1059334600421268,-0.1416494201390218,-0.09712208476903184,random
-0.055267035758395644,0.10631401963312366,-0.13355915635591947,-0.0864262978013699,random
-0.06046004827952933,0.10897435153468742,-0.14307102202771194,-0.10113316213285173,random
-0.05611933804745295,0.11161912421891224,-0.12895819450222618,-0.08513578985456705,random
-0.03885725630654957,0.10617776418436797,-0.09224307772090826,-0.08250522237176261,random
-0.05410059648926058,0.09338281515203871,-0.1495321671903885,-0.08506372410657248,random
-0.04611342985282896,0.09405375267298255,-0.12555316125742844,-0.07403075591834862,random
-0.058466248887742656,0.1104572002503082,-0.13615278726733626,-0.10438016783943227,random
-0.045549364824611915,0.09754273532291494,-0.11929633754886586,-0.08585449907823606,random
-0.04970051334638714,0.10378497832465296,-0.12249116562534595,-0.0888163193117365,random
-0.07264234887054832,0.10524890119496497,-0.18008658249217194,-0.10461494232974033,random
-0.046515279776903506,0.11930576647048907,-0.09847635092230152,-0.09255230309602169,random
-0.03576446119337817,0.09369287291440588,-0.09658480344437415,-0.06192299274497226,random
-0.03158908530246418,0.10660807520036876,-0.07376232215857213,-0.06946991883556164,random
-0.032054914129598044,0.09988160472204324,-0.08039657241817852,-0.07394491935114522,random
-0.030737414965763543,0.11232591683802431,-0.06765813369602133,-0.0729508525786492,random
-0.05636009663466568,0.10328151342046614,-0.1405326748894521,-0.0915718245865057,random
-0.02917312167527686,0.10235197003590558,-0.07087284968673173,-0.06795276309689435,random
-0.043352530889506524,0.10618829852836822,-0.10353132579979765,-0.08338897210617102,random
-0.013790642367330297,0.10845529890787357,-0.02941438907212561,-0.06078407527558105,random
-0.0666109951115349,0.0996908285194481,-0.17384513439371344,-0.0800316458744037,random
-0.06702233405439295,0.10945996432912182,-0.1587844099546738,-0.09754775711386743,random
-0.046951925395020355,0.10362129622496243,-0.11556153547722628,-0.08770381377077263,random
-0.040729305179734165,0.10463192801312299,-0.09846949334037414,-0.06686587244930708,random
-0.04410402437879257,0.10405013799954296,-0.10772482655489231,-0.07113218295678703,random
-0.05141841394129165,0.10275754495950287,-0.12828343240401668,-0.09210492450429775,random
-0.06490877527696504,0.1061494033434913,-0.15848592109777998,-0.09514495689959523,random
-0.0876728930036097,0.10183475165250702,-0.22736822266112997,-0.10470940693049469,random
-0.10082193870616396,0.10296278475866666,-0.2608507821836359,-0.1252708451291783,random
-0.0632369407366562,0.09436735068839147,-0.17421674695051156,-0.09778674046735958,random
-0.04847938813944619,0.11893084038310918,-0.1032504747330143,-0.0961820376946042,random
-0.06084614969242419,0.10076498703312246,-0.15630531989501648,-0.0887214904929049,random
-0.04737289188133853,0.09556727818994823,-0.12700709675493607,-0.07491115175604612,random
-0.024503604471654117,0.0989833492702463,-0.06108801630164526,-0.06931317918411306,random
-0.07281277990060553,0.10749050325849101,-0.17663094141133218,-0.10898477488007374,random
-0.06613569925648832,0.10294892519695009,-0.16688278743273294,-0.09651679786290945,random
-0.05112596253561652,0.09853150920694016,-0.1332549722647071,-0.08297687494320061,random
-0.023821526626533807,0.09730945276814007,-0.06040393195983211,-0.06060584040446426,random
-0.03078161361484244,0.1038654289151659,-0.07383171795255226,-0.06779134903757889,random
-0.05783325704280495,0.08979664066464495,-0.1669911270536918,-0.0795717921072524,random
-0.0414241927660598,0.10840467703743427,-0.09652383792710563,-0.07249482282143815,random
-0.0761701691375547,0.10889950969583322,-0.18277381518246325,-0.11437877150180709,random
-0.06607617334202798,0.10130694354208264,-0.1695345233618458,-0.09584391976727458,random
-0.0524112958550208,0.10506116191575232,-0.12788144440601487,-0.08394522245489511,random
-0.049711123156643056,0.11871771005692351,-0.10624126682458784,-0.09382036141051953,random
-0.04105237527811223,0.10881588737794635,-0.09522280717280308,-0.06925021701448131,random
-0.07716874074031344,0.10379672237337625,-0.1947499062271907,-0.10626697845726052,random
-0.05333505333909638,0.0899814526144535,-0.1531005006835163,-0.07377309198392912,random
-0.06843281288519842,0.10895563647336556,-0.1631026032682678,-0.10690961226254025,random
-0.055644773287754634,0.10028975628561265,-0.1429868792674461,-0.08491817571642213,random
-0.06457511374136826,0.1056169381916607,-0.15846501110120126,-0.08917533158035118,random
-0.03317556622328455,0.10788534750192515,-0.0767009533346187,-0.06685928822493781,random
-0.06325407621263368,0.1015728986526572,-0.1614710984036334,-0.08972058229764945,random
-0.0591944294511616,0.10345738950638406,-0.1477236804851467,-0.10088470150077067,random
-0.03864362541904154,0.09772508702282592,-0.1001871265948518,-0.06650716031921111,random
-0.06383387542272667,0.09716615117663979,-0.17070539088706407,-0.09153429222107468,random
-0.05483480738258695,0.09889302926724097,-0.14287439684358372,-0.08022189869842589,random
-0.06390511409035737,0.0976190406638503,-0.17008445946402942,-0.08800060544241262,random
-0.03271902758356626,0.10143046155968252,-0.08080393918945472,-0.06464640482331463,random
-0.04883317371715812,0.10655023411129995,-0.11695506769234987,-0.09001810310736669,random
-0.07665450245033834,0.10449431241161913,-0.19204334547964044,-0.09833573586837918,random
-0.05553733400790495,0.11240031486450222,-0.12660914210853993,-0.10120549627306452,random
-0.027153332182616063,0.09894740856750837,-0.06814888578590256,-0.06158040915556562,random
-0.015657079924916495,0.09432308885364467,-0.03990282778124928,-0.055654018554808005,random
-0.03797258057157471,0.09825480102010804,-0.09779588455293468,-0.06289813891385276,random
-0.07048449511742383,0.11503711886386045,-0.15901407711613472,-0.1095277823192834,random
-0.046399937148809856,0.10214704588054935,-0.11587288655886917,-0.07727265561672259,random
-0.03881189607553914,0.09210341808180286,-0.10715099864611409,-0.06273460899897065,random
-0.06846464731025426,0.11374141130070578,-0.15602092464689413,-0.09802900208273657,random
