source,target,weight
A,BAC,-0.41348250179976054
A,CRL,0.5527144218330275
A,DHR,0.4806046324437583
A,FTNT,0.41843529729537227
A,GNRC,0.4021581793533871
A,HOLX,0.4078865343491884
A,IDXX,0.5333640627034284
A,KHC,-0.4299804883256542
A,MPWR,0.4812003008111855
A,MTD,0.4493143235626328
A,OKE,-0.412547373348498
A,RVTY,0.5633323368632094
A,TMO,0.6216274337720123
A,USB,-0.40824221712585385
A,WAT,0.5270459569931962
A,WFC,-0.4253170419150368
AAPL,ADM,-0.4368840791698595
AAPL,AFL,-0.5387465774513738
AAPL,AIG,-0.4814476640178121
AAPL,AMCR,-0.4254405435934012
AAPL,AME,-0.5168857403813268
AAPL,AMP,-0.4773617818669487
AAPL,AMZN,0.4327037078581383
AAPL,BAC,-0.49636365792566256
AAPL,BEN,-0.6135783893644295
AAPL,BRK-B,-0.4011010450425602
AAPL,C,-0.44729443438417144
AAPL,CB,-0.43108746964730793
AAPL,CFG,-0.5039935347771949
AAPL,CINF,-0.5257649190855493
AAPL,COF,-0.4818041711334113
AAPL,CVS,-0.4535092988755272
AAPL,DD,-0.4065156553580679
AAPL,DOV,-0.48959121139137785
AAPL,DOW,-0.40149634600139017
AAPL,EMR,-0.4057689811347356
AAPL,ETN,-0.48150299590427625
AAPL,FITB,-0.5484610126162959
AAPL,GD,-0.4473901986980752
AAPL,GL,-0.5156147955018554
AAPL,GPC,-0.5207679985766638
AAPL,GWW,-0.5250748461087326
AAPL,HBAN,-0.45292785894307136
AAPL,HCA,-0.4057968406731511
AAPL,HII,-0.42260791715635543
AAPL,HSIC,-0.49629778661428087
AAPL,HUBB,-0.4700979350159885
AAPL,IDXX,0.43327583381505413
AAPL,IEX,-0.4048299479427904
AAPL,IP,-0.4973151366152983
AAPL,ITW,-0.4300399450429996
AAPL,IVZ,-0.46328799285696554
AAPL,J,-0.48013780588855703
AAPL,JBHT,-0.4593218608000129
AAPL,KEY,-0.49715433522871144
AAPL,L,-0.5051020068470857
AAPL,LHX,-0.41392003577548603
AAPL,LKQ,-0.40558411338924794
AAPL,MET,-0.4691068411997559
AAPL,MLM,-0.4063593550171351
AAPL,MSFT,0.44898516661275584
AAPL,MTB,-0.4423031925632783
AAPL,NUE,-0.4402032741360898
AAPL,OMC,-0.4443523602107204
AAPL,PFG,-0.4692037247432296
AAPL,PKG,-0.49947957006772076
AAPL,PNC,-0.5358847933755442
AAPL,PPL,-0.43524300571188557
AAPL,PRU,-0.489142410217756
AAPL,PYPL,0.5312615195789859
AAPL,RF,-0.532373217193693
AAPL,SHW,-0.40088545015000226
AAPL,SNA,-0.47467050907164926
AAPL,SYF,-0.5280175814663614
AAPL,TEL,-0.4190490377502668
AAPL,TFC,-0.49870251177572006
AAPL,TRV,-0.5223701236586036
AAPL,TYL,0.4288050881597199
AAPL,UHS,-0.5254886007891352
AAPL,USB,-0.551149237685466
AAPL,VZ,-0.4035481011797117
AAPL,WFC,-0.4430470797287499
AAPL,WTW,-0.40400182516383665
AAPL,XYL,-0.46209911148715627
AAPL,XYZ,0.4237004235023415
ABBV,BMY,0.4906176444612549
ABBV,GILD,0.47742631063315555
ABBV,MRK,0.5422131703067885
ABBV,PFE,0.6474322609089952
ABT,APA,-0.4245216964596486
ABT,COF,-0.430337746990965
ABT,DGX,0.4763895805873513
ABT,DHR,0.5257333381142304
ABT,DVN,-0.517637629958282
ABT,HOLX,0.4298815842614684
ABT,LH,0.5625306190004027
ABT,NUE,-0.5296119902290966
ABT,TMO,0.5569257060997731
ABT,WST,0.42467348338866034
ACGL,ADBE,-0.4276676747179778
ACGL,AFL,0.4333471158274675
ACGL,AIG,0.5169197533924654
ACGL,AIZ,0.46532663949324843
ACGL,AMP,0.45041052720827734
ACGL,AMZN,-0.4060360265553236
ACGL,AXP,0.4152408450517154
ACGL,BAC,0.5037254398357821
