source,target,weight
A,AVY,0.47971407401774385
A,CSGP,0.4790592785285767
A,DAY,0.41652124602673146
A,DHR,0.5919881203372478
A,HSY,0.4017211472188717
A,IQV,0.4819079385615242
A,LULU,0.40303606135208414
A,MRNA,0.4683834937004734
A,MTD,0.7402731036296916
A,RVTY,0.7294821098849803
A,SPGI,0.4128967559236993
A,TECH,0.6745435992243409
A,TMO,0.5853080603242192
A,UAL,-0.46304813747562207
A,VLTO,0.40157250618738033
A,WAT,0.6786281120291132
A,YUM,0.44731779748631345
AAPL,ADP,-0.4128156139214189
AAPL,AXP,-0.40083033830456655
AAPL,BAC,-0.42616636371922917
AAPL,BKR,-0.47847719398914906
AAPL,CHTR,-0.4431789036658851
AAPL,COF,-0.41020210098734455
AAPL,CPAY,-0.4063238115809765
AAPL,ETN,-0.5893944278439529
AAPL,FISV,-0.40109851383542106
AAPL,GS,-0.4886403399780212
AAPL,GWW,-0.4776531542531846
AAPL,HAL,-0.4244915512162706
AAPL,HLT,-0.40124884377298325
AAPL,HUBB,-0.4645924387523406
AAPL,HWM,-0.4683965154036362
AAPL,IFF,0.4281618045031538
AAPL,JPM,-0.4079610915437712
AAPL,KMI,-0.473865760723452
AAPL,LHX,-0.5049299746138187
AAPL,MS,-0.48701485166821096
AAPL,PH,-0.5144722319237235
AAPL,PKG,-0.4178051743208822
AAPL,SLB,-0.5014661149601825
AAPL,SYF,-0.45548704797660994
AAPL,TRGP,-0.4289794415151392
AAPL,UAL,-0.40976765903757795
AAPL,WFC,-0.40443569233796356
AAPL,WMB,-0.41671765484241036
ABBV,CPB,0.4154949645885424
ABBV,CRM,-0.4582401583541933
ABBV,DVA,-0.41060019857006097
ABBV,MTD,0.41505736436192453
ABBV,XYZ,-0.5201329222093121
ABT,CAH,0.4124644121785874
ABT,CHD,0.570338608239636
ABT,CLX,0.48930058552174294
ABT,JNJ,0.48287321779228787
ABT,MA,0.5017467722002911
ABT,MDT,0.533011240021942
ABT,O,0.42927636578564193
ABT,SYK,0.6048717159673846
ABT,WAT,0.513427989371869
ABT,WEC,0.5063604614633276
ABT,ZBH,0.41677252447208046
ACGL,AFL,0.4767974703937795
ACGL,AIZ,0.5470846729808042
ACGL,AJG,0.42913800759976795
ACGL,ALL,0.437658788004836
ACGL,APD,-0.4299747439903758
ACGL,BRK-B,0.4327095452715971
ACGL,BRO,0.4779427103739028
ACGL,CB,0.48408707552551156
ACGL,CINF,0.5436721482769439
ACGL,EG,0.7650191350993604
ACGL,GL,0.4026101840022134
ACGL,HIG,0.5326003953212705
ACGL,L,0.5400727928958972
ACGL,MET,0.5359283673007016
ACGL,PGR,0.44710617290648536
ACGL,PRU,0.42667151963180516
ACGL,TRV,0.4031517028326087
ACGL,WRB,0.5773913329628972
ACN,CTAS,-0.4073698403966822
ACN,CTSH,0.5799406292102083
ACN,DRI,0.6350383111180757
ACN,EPAM,0.4267559332165529
ACN,FDS,0.5759556397849214
ACN,IBM,0.46565546626035226
ACN,LW,-0.4935828761892861
ACN,MU,-0.4647524954061887
ACN,RSG,0.44198347888819717
ACN,VRTX,-0.43785315414482273
ADBE,NDSN,0.4835972805395992
ADBE,REG,-0.4031985051403552
ADBE,WBD,-0.4228801969810857
ADI,AMAT,0.5100931107375991
ADI,AMD,0.4059878396881727
ADI,CDW,0.4714278347385439
ADI,KLAC,0.5761003596457602
ADI,LRCX,0.5216016552452332
ADI,MCHP,0.6414533991269897
ADI,MPWR,0.5482467904590221
ADI,MRNA,0.424546404800854
ADI,NXPI,0.8425004406867197
ADI,ON,0.6585509327434589
ADI,QCOM,0.42533084870088395
ADI,SWKS,0.601060563915004
ADI,TEL,0.41236845830234065
ADI,TXN,0.7375064269440227
ADI,WMT,-0.4040765730140465
ADM,BAC,0.4377202473795204
ADM,BG,0.5160413916891411
ADM,BKR,0.4116684382345467
ADM,CVX,0.4820435130835974
ADM,HOLX,0.40755177725965197
ADM,ISRG,-0.4191566047397125
ADM,SLB,0.4425329904179131
ADM,STT,0.42995465116581333
ADP,AMP,0.4644978291166627
ADP,AXP,0.44367179865801987
ADP,BRO,0.40929021918118536
ADP,CFG,0.4324962011787962
ADP,CMCSA,0.4808980489440639
ADP,CSX,0.427633177686092
ADP,GS,0.40424777778732246
ADP,HLT,0.4828397604798098
ADP,HWM,0.4289841412712934
ADP,IT,0.4292237060261156
ADP,ITW,0.4005236948696289
ADP,J,0.4809887416900958
ADP,KMI,0.4609145690572683
ADP,LHX,0.4155070093403166
ADP,MA,0.41327365792463683
ADP,MET,0.4115501420978525
ADP,MTB,0.4035353625823623
ADP,ORLY,0.45673511733122224
ADP,PAYX,0.691919470379097
ADP,PH,0.4375332955684428
ADP,PNW,0.4753252066896359
ADP,PRU,0.4025190802721599
ADP,TRMB,0.4343874610635674
ADP,V,0.547448558317068
ADP,WFC,0.40319662156381747
ADP,WMB,0.4020110272849768
ADSK,CRM,0.4495539287790598
ADSK,HPQ,0.6793261115911505
AEE,AEP,0.47712337397561394
AEE,AFL,0.42498066627443865
AEE,ALL,0.6021224013724591
AEE,AMZN,-0.4716520244640272
AEE,ATO,0.6606696835809164
AEE,AVB,0.5159369332875695
AEE,AWK,0.5718508576412926
AEE,AXON,0.47136336509540083
AEE,BR,0.48805075080588034
AEE,BSX,0.40383658181839893
AEE,CDNS,-0.41822144962284946
AEE,CME,0.4145255701596522
AEE,CMS,0.7415626648480935
AEE,CNP,0.5306229505815186
AEE,CPAY,0.42506812237203967
AEE,CPT,0.539114725530757
AEE,D,0.6779592424229802
AEE,DTE,0.6626645996536085
AEE,DUK,0.6763759166906357
AEE,ED,0.6301846015176172
AEE,EIX,0.6426365948756529
AEE,EQR,0.5072493050048131
AEE,ES,0.4754300967840623
AEE,ESS,0.4607375286593468
AEE,ETR,0.46165445598681526
AEE,EVRG,0.7551246927156801
AEE,EXC,0.6275588503440471
AEE,FE,0.6535854147506936
AEE,FTNT,0.4155440062095916
AEE,HIG,0.4187721481681456
AEE,JBHT,0.42397289031387747
AEE,K,0.4317130575755458
AEE,KIM,0.44866282408114455
AEE,KMI,0.45417081746272436
AEE,LMT,0.42818072319680156
