source,target,weight
A,ABBV,0.4457883325378194
A,AME,0.47425679819167316
A,APTV,0.42375299813651435
A,AVY,0.41399131605871464
A,BAX,0.5045120296647313
A,BIIB,0.6136214573898273
A,BMY,0.6137693582682331
A,CBRE,0.4669374044833918
A,CDW,0.41241041987244287
A,CMI,0.41108574933660486
A,CRL,0.5093792749414602
A,DD,0.4495785708401462
A,DHR,0.7516807369944138
A,DOW,0.4116987973141968
A,FTV,0.42733954152931974
A,GILD,0.5137469025057207
A,IEX,0.4053502725996218
A,INCY,0.459471582608258
A,IQV,0.7945010083285382
A,ITW,0.4513672269907632
A,LEN,0.45424202339867886
A,LH,0.45929701124299266
A,LYB,0.506714182664111
A,MAS,0.4924023928850711
A,MDT,0.4221689196364922
A,MRK,0.5279707840791378
A,MRNA,0.5080912461567408
A,MTD,0.8525207728876972
A,NFLX,-0.4092327707289527
A,NSC,0.4276084760121073
A,PFE,0.5270190962347473
A,PNC,0.404858993145702
A,REGN,0.4212461702951579
A,RVTY,0.8513018413433487
A,SWK,0.5096982898432068
A,TECH,0.7877952896139804
A,TMO,0.7996698118650929
A,UPS,0.43705488961718253
A,VTRS,0.5516292233983433
A,WAT,0.8174828818709415
A,WY,0.4104292077013401
A,ZBRA,0.4433743912886388
AAPL,DXCM,-0.4390059480744027
AAPL,XYZ,0.48822802476212324
ABBV,AMGN,0.6053744675575216
ABBV,BIIB,0.5786291334572985
ABBV,BMY,0.6704364069453053
ABBV,DGX,0.4314698322951912
ABBV,DHR,0.46200248397768956
ABBV,GILD,0.5050687088928439
ABBV,INCY,0.4454673946650957
ABBV,IQV,0.5124859858652163
ABBV,JNJ,0.4114220396644068
ABBV,LH,0.4273390426748512
ABBV,LLY,0.42784462183227845
ABBV,MDT,0.4445807367415118
ABBV,MRK,0.6276608094976748
ABBV,MRNA,0.40767857419800985
ABBV,MTD,0.4754097262884666
ABBV,PFE,0.6449802728555621
ABBV,TECH,0.47015526831711507
ABBV,TMO,0.4507390646755317
ABBV,VRTX,0.5172777841089599
ABBV,VTRS,0.4266257569110532
ABBV,WAT,0.4726165189842912
ABBV,WST,0.4412282477687491
ABBV,ZTS,0.46228514766031775
ABT,ACGL,0.48259879121671484
ABT,AEE,0.5597738250345802
ABT,AEP,0.5379012155161556
ABT,AFL,0.41245907749189864
ABT,AJG,0.4430177133846263
ABT,ALL,0.4090657207582958
ABT,AMT,0.5644189915906472
ABT,AMZN,-0.502768988311536
ABT,APD,0.49983484816786394
ABT,ATO,0.5593011824341927
ABT,AWK,0.5703022243574702
ABT,BMY,0.4131139061552265
ABT,BSX,0.45235116273696285
ABT,CB,0.6120591631080416
ABT,CBOE,0.449343872719983
ABT,CCI,0.6114142250421261
ABT,CINF,0.41468914392459216
ABT,CL,0.4430336979466448
ABT,CME,0.4702964644238519
ABT,CMS,0.49925394193522193
ABT,CTAS,0.4646151743772885
ABT,D,0.5029960962471629
ABT,DTE,0.5073032040385933
ABT,DUK,0.6280381012761939
ABT,EA,0.40909220130779705
ABT,ECL,0.4965831862576392
ABT,ED,0.4906778299737147
ABT,ELV,0.4261854010877287
ABT,ETR,0.4205115672940372
ABT,EVRG,0.44837833169086916
ABT,EXC,0.5583444152619053
ABT,FE,0.5595205895938962
ABT,HIG,0.48947230910448225
ABT,ICE,0.4683364711798072
ABT,INVH,0.41664603492878205
ABT,IRM,0.5059507712449871
ABT,JNJ,0.5538523766308384
ABT,KDP,0.5035355896806897
ABT,KMB,0.43395943700687095
ABT,KO,0.563936278848387
ABT,KR,0.450806828334772
ABT,L,0.44175636654925454
ABT,LIN,0.46255140322059646
ABT,MA,0.4618989546416906
ABT,MCD,0.5117779318160136
ABT,MCK,0.44336953447572636
ABT,MCO,0.55193201307913
ABT,MDLZ,0.40668266467699304
ABT,MDT,0.5291671757462645
ABT,META,-0.48287215960696056
ABT,MMC,0.40346321730079165
ABT,MO,0.499436696802774
ABT,MSCI,0.4264643461717391
ABT,NI,0.4739798573225894
ABT,O,0.40436604190068676
ABT,OTIS,0.468737799276304
ABT,PEP,0.4130084620222359
ABT,PM,0.4741722435390808
ABT,PNW,0.5864556700704393
ABT,PPL,0.5592721954939662
ABT,ROL,0.5490149377163508
ABT,ROP,0.40332579740420244
ABT,RSG,0.49509333761310376
ABT,SBAC,0.5610941148173385
ABT,SO,0.6032803867124912
ABT,SPGI,0.4481678847090616
ABT,SRE,0.4477616048161886
ABT,STE,0.5628662664754271
ABT,SYK,0.5465639409170973
ABT,SYY,0.46393168341438346
