source,target,weight
A,BBY,-0.49845848661014097
A,CRM,0.4614768097520673
A,DHR,0.4872806331300833
A,HPQ,-0.4549230592631305
A,HRL,0.5960000468092647
A,MTD,0.5187953297406542
A,NOW,0.4330547489053894
A,TMO,0.4966921945931754
A,WAT,0.7394925416507577
ABBV,AON,0.5559710706761546
ABBV,ATO,0.4491572440021962
ABBV,BRK-B,0.40444176207095334
ABBV,CHD,0.45398737926324284
ABBV,CINF,0.5422941405518562
ABBV,GOOG,-0.41699058530861444
ABBV,GOOGL,-0.4245913488845557
ABBV,LULU,0.43307039083066245
ABBV,MMC,0.4877869477715044
ABBV,PG,0.4717817642016864
ABBV,RMD,-0.4004025851312954
ABBV,SJM,0.49050501674910374
ABBV,SO,0.42417743364298
ABBV,XOM,0.4237059539731362
ABT,ADP,0.4767430457847933
ABT,BDX,0.4033734542049733
ABT,GILD,0.48352899471978195
ABT,JBHT,0.4014594262271942
ABT,JNJ,0.40680514498513576
ABT,TRV,0.43362162141900457
ACGL,AFL,0.5723993464438961
ACGL,AIG,0.5886779430692408
ACGL,AIZ,0.4439459465277649
ACGL,AJG,0.6284831092910235
ACGL,ALL,0.6649485311034963
ACGL,AMP,0.5102399667302575
ACGL,AON,0.415785430214823
ACGL,BRK-B,0.45870074777488345
ACGL,BRO,0.526413899768967
ACGL,CB,0.5533593538487817
ACGL,CINF,0.6762050529155098
ACGL,EG,0.6557539001800183
ACGL,GWW,0.42342114610288606
ACGL,HIG,0.7028394354271226
ACGL,JPM,0.4352361143935192
ACGL,L,0.6200868781486102
ACGL,LDOS,0.4959402200085392
ACGL,MET,0.5555920611066498
ACGL,MMC,0.5650571744391945
ACGL,PFG,0.5252624898223388
ACGL,PGR,0.5565058127820881
ACGL,PRU,0.5550287367853882
ACGL,TRV,0.5086469033489174
ACGL,TT,0.4172411859882014
ACGL,WRB,0.5883639640764032
ACGL,WTW,0.5354030206199409
ACN,CMG,-0.46824002152669214
ACN,CTSH,0.6255415917185829
ACN,GILD,0.6458308896800358
ACN,JBL,-0.5073152604488086
ACN,MLM,-0.4266563995367167
ACN,VMC,-0.47974072269634643
ADBE,CRM,0.42631501734005084
ADBE,EBAY,-0.41971386640500563
ADBE,MO,-0.48095401772257546
ADBE,NOW,0.5323520586215145
ADBE,PH,-0.46853293036483196
ADI,CDW,0.41853137863886547
ADI,MCHP,0.7319920739659169
ADI,MRNA,0.4765708050668903
ADI,NXPI,0.5621537360103412
ADI,ON,0.6197338159499315
ADI,TER,0.4429335371482202
ADI,TGT,-0.426080498995056
ADI,TXN,0.644196097343328
ADM,AEE,0.44592137009817034
ADM,AEP,0.47874550720687586
ADM,AIG,0.4040840176557659
ADM,AJG,0.43727501941255403
ADM,ALL,0.44368073818637016
ADM,AMAT,-0.44407915553749416
ADM,ATO,0.42911054509246915
ADM,AWK,0.4540224188238992
ADM,BA,0.449742590022996
ADM,BF-B,0.4376093150899119
ADM,BG,0.6856892514659072
ADM,BRK-B,0.47995267935335106
ADM,CAG,0.4909557468267547
ADM,CB,0.46213187072455186
ADM,CDNS,-0.45200270706652035
ADM,CI,0.43017235966363565
ADM,CMS,0.455837898222795
ADM,COP,0.4307571459705517
ADM,CTRA,0.4148241895605763
ADM,CVX,0.5453971521155513
ADM,DTE,0.44724480849074505
ADM,ED,0.42664978146889126
ADM,EG,0.5320132880458951
ADM,ELV,0.5066246964493326
ADM,EOG,0.42267028715685895
ADM,ETR,0.5000598408133613
ADM,EVRG,0.46095889534938234
ADM,EXC,0.4083145009683664
