ticker1,ticker2,Correlation,n,pval,Source_Cluster,Target_Cluster,Edge_Type
A,APH,0.473749986763708,61,0.0001316550953338904,6,6,Internal
A,CRL,0.6396105429056367,61,3.7705190305759035e-08,6,6,Internal
A,DHR,0.5341108943314302,61,1.1070571717135386e-05,6,6,Internal
A,GNRC,0.4465534884286578,61,0.0003483080715573199,6,6,Internal
A,IQV,0.49424286421481645,61,5.981750012647031e-05,6,6,Internal
A,KO,-0.41030002836119017,61,0.0011300793397451927,6,1,External
A,MTD,0.6003600235725924,61,3.9684289982907567e-07,6,6,Internal
A,RVTY,0.44007560099158755,61,0.0004340208424553203,6,6,Internal
A,TECH,0.45017953264453764,61,0.00030735939021323574,6,6,Internal
A,TMO,0.5436072008400405,61,7.171515518405275e-06,6,6,Internal
A,WAT,0.4407372394308283,61,0.0004244615196482277,6,6,Internal
A,WST,0.40439000548602355,61,0.0013526434931250876,6,6,Internal
A,ZTS,0.47144281867737226,61,0.00014343965532317916,6,6,Internal
AAPL,ACGL,-0.5186971892701383,61,2.179539185459876e-05,6,2,External
AAPL,ADBE,0.4881232225228075,61,7.610698830868941e-05,6,6,Internal
AAPL,ADM,-0.6352348375289331,61,4.983138178313771e-08,6,3,External
AAPL,AES,-0.4243967225685156,61,0.0007262260566594257,6,3,External
AAPL,AFL,-0.5895839377815494,61,7.175444705116122e-07,6,3,External
AAPL,AIG,-0.559878949312216,61,3.302445598077811e-06,6,3,External
AAPL,AIZ,-0.44853166109217524,61,0.00032539132307510407,6,3,External
AAPL,AMD,0.43901387679510817,61,0.000449770172153653,6,6,Internal
AAPL,AME,-0.5477672920817119,61,5.904519655909276e-06,6,3,External
AAPL,AMP,-0.45032662672597523,61,0.00030579493698831015,6,3,External
AAPL,AMZN,0.4606339034377007,61,0.00021262699404474197,6,6,Internal
AAPL,AOS,-0.47390982054738146,61,0.0001308725491129864,6,3,External
AAPL,APA,-0.4137754830941385,61,0.0010151521417149675,6,3,External
AAPL,AVY,-0.44077063013135165,61,0.00042398420498001427,6,3,External
AAPL,AXP,-0.5604797908196223,61,3.2066912918686403e-06,6,3,External
AAPL,AZO,-0.47838378607265614,61,0.00011062558414708469,6,4,External
AAPL,BAC,-0.5948881784595673,61,5.375342369337243e-07,6,3,External
AAPL,BG,-0.5229198777268328,61,1.81630570509792e-05,6,3,External
AAPL,BK,-0.5509533127202133,61,5.078762704319581e-06,6,3,External
AAPL,BKNG,-0.601170494484781,61,3.792183640622479e-07,6,3,External
AAPL,BKR,-0.4218105092665151,61,0.0007887284967299332,6,3,External
AAPL,BRK-B,-0.49085196129069636,61,6.839595775764679e-05,6,3,External
AAPL,BXP,-0.48825573066982,61,7.571478299247373e-05,6,2,External
AAPL,C,-0.4322742347324097,61,0.0005624580335419712,6,3,External
AAPL,CARR,-0.4526134018489456,61,0.0002823889278445324,6,3,External
AAPL,CAT,-0.5446444254948061,61,6.833867796733934e-06,6,3,External
AAPL,CB,-0.41871183415538055,61,0.0008699928639779298,6,2,External
AAPL,CF,-0.5072849114925344,61,3.5250112737567216e-05,6,3,External
AAPL,CFG,-0.6808233494278155,61,2.159445565158452e-09,6,3,External
AAPL,CINF,-0.5175889465033621,61,2.285443060616387e-05,6,2,External
AAPL,CME,-0.4198679432741427,61,0.0008388289344286176,6,4,External
AAPL,CNC,-0.4409423225380749,61,0.00042153758600281635,6,4,External
AAPL,COF,-0.42049103813968025,61,0.0008224542820829885,6,3,External
AAPL,COP,-0.44294950777369707,61,0.0003938720926922763,6,3,External
AAPL,CPAY,-0.44446532715118386,61,0.00037408536759234417,6,2,External
AAPL,CSX,-0.5049356220501249,61,3.883504112922836e-05,6,3,External
