source,target,weight
ABT,ADP,0.5564669833749164
ABT,AEE,0.4024806584751642
ABT,AEP,0.46796517752095534
ABT,ALLE,0.4069607092936567
ABT,AMCR,0.40878451044190117
ABT,AMGN,0.5148183510679528
ABT,AMT,0.4044253313078651
ABT,AVB,0.4431450887166913
ABT,AWK,0.432697752397014
ABT,AZO,0.4480125822806044
ABT,BAX,0.4697102108194891
ABT,BDX,0.4934824884565718
ABT,BIIB,0.4437873357896218
ABT,BMY,0.5447008715204418
ABT,BR,0.5520461627728969
ABT,BRO,0.44923394443704223
ABT,CAG,0.49637931330129814
ABT,CBOE,0.4685746979030066
ABT,CHD,0.5936226003824157
ABT,CL,0.5661311910248197
ABT,COR,0.4553118352753222
ABT,CPB,0.4871758993428777
ABT,CTAS,0.4127162746855008
ABT,D,0.4928479655083894
ABT,DGX,0.5024616416142232
ABT,DUK,0.4820247490089138
ABT,ED,0.44303762691349685
ABT,EFX,0.44133923666006547
ABT,ES,0.44221892116356426
ABT,EXC,0.48153691825629774
ABT,EXPD,0.41506710180230255
ABT,EXR,0.4119404684493969
ABT,FRT,0.4240698863698326
ABT,GIS,0.5526738674264937
ABT,GPC,0.4420226222698127
ABT,HCA,0.443459241269394
ABT,HOLX,0.5821916194439674
ABT,HON,0.5030462762993889
ABT,HRL,0.5857950007438301
ABT,ITW,0.4002037231902729
ABT,JKHY,0.4069796443475014
ABT,JNJ,0.5745682400259708
ABT,KHC,0.44577056249709707
ABT,KIM,0.4268129343400165
ABT,KMB,0.5764629625368053
ABT,KO,0.45134254820375297
ABT,KVUE,0.5404294034191794
ABT,LHX,0.4295807085449906
ABT,LNT,0.43122454078969646
ABT,LOW,0.41420611676496605
ABT,MA,0.4747473400550669
ABT,MCK,0.4275768508921049
ABT,MDLZ,0.4661908315899334
ABT,MDT,0.4725394018015171
ABT,MKC,0.5609201905432684
ABT,MMC,0.5783920458952341
ABT,MO,0.4353992434245312
ABT,NEE,0.41850142064263945
ABT,NSC,0.482504866278333
ABT,NVDA,-0.4206467226163912
ABT,O,0.44378670539097315
ABT,ORLY,0.4685134622118192
ABT,OTIS,0.40373269000629813
ABT,PAYX,0.4615960120231303
ABT,PEP,0.5279282399677316
ABT,PFE,0.4948905822098871
ABT,PG,0.5767530725141397
ABT,PLD,0.5169419919898871
ABT,PNW,0.4163810598817304
ABT,PPL,0.4268653782007337
ABT,PSA,0.4300890009009109
ABT,REG,0.40096610794521387
ABT,RMD,0.46140668297126547
ABT,ROL,0.45950888401303097
ABT,SBAC,0.4609569095172807
ABT,SHW,0.44821496854938786
ABT,SJM,0.5628851976947044
ABT,SO,0.5487409761449198
ABT,SYK,0.41212604825478727
ABT,SYY,0.484638157994564
ABT,T,0.4668161918555573
ABT,TJX,0.43720750220387317
ABT,TSN,0.5030284464455822
ABT,UNP,0.5672668431450565
ABT,V,0.5805699105037758
ABT,VRSK,0.49426812071357434
ABT,VZ,0.4890907015264596
ABT,WEC,0.4891414173986792
ABT,XEL,0.4000807674011035
ABT,ZTS,0.452566087020839
ACGL,ADP,0.48695328514616526
ACGL,AEE,0.41774335795977685
ACGL,AFL,0.6677756023481766
ACGL,AIG,0.5600808195370385
