ticker1,ticker2,Correlation,n,pval,Source_Cluster,Target_Cluster,Edge_Type
A,AVB,-0.5040565678185279,64,2.5345829699434535e-05,0,5,External
A,CRL,0.5857357933289564,64,4.586145158359215e-07,0,0,Internal
A,DHR,0.6919379329348733,64,3.383796472543386e-10,0,0,Internal
A,EIX,-0.4355201605199392,64,0.0003604452931549275,0,5,External
A,EQR,-0.4622127007533104,64,0.00013695664250724886,0,5,External
A,ESS,-0.4374751822021193,64,0.0003366791749590364,0,5,External
A,IQV,0.6139877084904272,64,8.72728602471567e-08,0,0,Internal
A,LH,0.41858114742396796,64,0.0006400069768146435,0,0,Internal
A,MTD,0.4674704657865368,64,0.00011211192439346612,0,0,Internal
A,NDSN,0.4735950441427089,64,8.842872987612375e-05,0,1,External
A,RVTY,0.5744211921725125,64,8.536824448317634e-07,0,0,Internal
A,STE,0.4201114351006856,64,0.0006083990167661611,0,2,External
A,TECH,0.5014503938245992,64,2.83385148899927e-05,0,0,Internal
A,TMO,0.5780877870739878,64,6.997773443133276e-07,0,0,Internal
A,UDR,-0.40926565098224493,64,0.0008667080645155397,0,5,External
A,WST,0.646679899299383,64,1.0313224099608818e-08,0,0,Internal
A,ZTS,0.42252708327036415,64,0.0005613772222617697,0,0,Internal
AAPL,APTV,-0.43150943153634264,64,0.00041405376289337873,0,1,External
AAPL,AVY,-0.43878887137908773,64,0.00032152190672508647,0,1,External
AAPL,AXP,-0.44886877288525223,64,0.00022438229966324208,0,3,External
AAPL,BG,-0.44823906161516924,64,0.00022955701513694364,0,1,External
AAPL,CI,-0.47153730956603745,64,9.581570467506503e-05,0,3,External
AAPL,CINF,-0.49001789030638043,64,4.575145862988882e-05,0,3,External
AAPL,COR,-0.4539034740325807,64,0.00018669211984766727,0,2,External
AAPL,DD,-0.4642050457131993,64,0.00012700116445852616,0,1,External
AAPL,DOV,-0.4837386686215394,64,5.909524003526904e-05,0,1,External
AAPL,DVA,-0.4311023936103882,64,0.0004198813988497448,0,2,External
AAPL,ETN,-0.4540539947620066,64,0.0001856603889183326,0,1,External
AAPL,F,-0.45240670365467106,64,0.00019724127936230962,0,1,External
AAPL,FTV,-0.4495585580760232,64,0.00021883659052386614,0,1,External
AAPL,GD,-0.46387673394215806,64,0.00012859453670974516,0,3,External
AAPL,GE,-0.4635574103619713,64,0.00013016188648518295,0,3,External
