source,target,weight
A,CRL,0.4706231918941644
A,DHR,0.46327817558315426
A,IDXX,0.498830072522006
A,IQV,0.5502683784010838
A,LH,0.4334244241045232
A,MTD,0.5108642755197295
A,PLD,0.4313927228685552
A,PSA,0.4101008645577137
A,RVTY,0.6413997389124239
A,TECH,0.47529674782784836
A,TMO,0.47840975810426384
A,WAT,0.6411799621997525
A,ZTS,0.4287256263769187
AAPL,AMP,-0.4160843986843733
AAPL,CAT,-0.40099782546348434
AAPL,PODD,0.42236389264348495
ABBV,ABT,0.43021845153511407
ABBV,BAX,0.41858240597612384
ABBV,CL,0.4150862591758532
ABBV,CNC,0.433615711312879
ABBV,COR,0.5246693337486124
ABBV,CVS,0.5618320587505319
ABBV,HSY,0.5010854665826769
ABBV,JNJ,0.5622250179104713
ABBV,K,0.41260447605288986
ABBV,KO,0.4819741065597486
ABBV,MCK,0.5244853795508861
ABBV,META,-0.4383362314023779
ABBV,PFE,0.43955020193039823
ABBV,UBER,-0.5469631762336254
ABBV,UNH,0.5177925796051177
ABT,BAX,0.4522710682858721
ABT,BDX,0.5315976691539328
ABT,DGX,0.40970651050732937
ABT,DHR,0.5169677781673464
ABT,HOLX,0.6367315404223706
ABT,ICE,0.4567416429719916
ABT,JNJ,0.4633776394741845
ABT,LH,0.4441997807023304
ABT,LLY,0.43540748283589154
ABT,NDAQ,0.4385663152579162
ABT,PEP,0.4108933383511578
ABT,PLD,0.5308656585164936
ABT,PSA,0.41021948732237
ABT,RVTY,0.4261692334295168
ABT,STE,0.4096414643977637
ABT,TMO,0.4909758725830957
ABT,ULTA,-0.4148746352578635
ABT,WAT,0.5095673961453947
ABT,ZTS,0.4710307449113021
ACGL,AFL,0.4990112586709935
ACGL,AIG,0.5666286140827947
ACGL,CB,0.4913099713822232
ACGL,CFG,0.5182162954994334
ACGL,CINF,0.5161649947355578
ACGL,CL,0.46118813464428976
ACGL,COF,0.46532914138949105
ACGL,EG,0.5017966094880484
ACGL,FITB,0.5353081782430475
ACGL,GL,0.5927793207622912
ACGL,HBAN,0.4939886068139892
ACGL,HIG,0.5551876943768979
ACGL,IP,0.40165303432362887
ACGL,KDP,0.43522160166651536
ACGL,KEY,0.5676671474518803
ACGL,L,0.6134027501416467
ACGL,LYB,0.4703952023668737
ACGL,MET,0.4550032675020354
ACGL,MTB,0.44121234557265604
ACGL,NTRS,0.4377010427951173
ACGL,PFG,0.43287773277430286
ACGL,PRU,0.4315153347112292
ACGL,RF,0.5057402830733129
