Quarter,Num_Nodes,Num_Edges,Num_Communities,Modularity,avg_degree,network_density
2020Q1,467,15053,12,0.4008982235863145,64.46680942184155,0.1383407927507329
2020Q2,467,11974,22,0.3010241785501773,51.28051391862955,0.11004402128461277
2020Q3,467,12494,23,0.31890634944121043,53.50749464668094,0.11482294988558142
2020Q4,467,21931,17,0.27525837449787127,93.92291220556746,0.2015513137458529
2021Q1,467,10167,18,0.3327451729439842,43.54175588865096,0.0934372443962467
2021Q2,467,9798,17,0.46242233982451025,41.96145610278373,0.09004604313902087
2021Q3,467,10759,17,0.4814684068530218,46.07708779443255,0.09887787080350333
2021Q4,467,6470,27,0.5118553047247766,27.70877944325482,0.0594609000928215
2022Q1,468,6278,23,0.5991056457004821,26.82905982905983,0.05744980691447501
2022Q2,468,5387,19,0.6340071766774906,23.021367521367523,0.049296290195647796
2022Q3,468,4689,25,0.6598937246183032,20.03846153846154,0.0429089112172624
2022Q4,468,4293,17,0.6239741118946263,18.346153846153847,0.03928512600889474
2023Q1,468,4961,28,0.6018307923359224,21.200854700854702,0.04539797580482805
2023Q2,469,6482,23,0.4847740327666051,27.64179104477612,0.05906365607858145
2023Q3,469,3821,35,0.6329678612648694,16.294243070362473,0.03481675869735571
2023Q4,470,8314,26,0.4047903216380092,35.37872340425532,0.07543437826067233
2024Q1,470,5248,22,0.397204559588211,22.33191489361702,0.047616023227328406
2024Q2,470,6673,20,0.36592994996710587,28.395744680851063,0.06054529782697455
2024Q3,470,7875,19,0.45318733041798315,33.51063829787234,0.07145125436646554
2024Q4,470,6276,19,0.5027681688964589,26.706382978723404,0.056943247289388925
2025Q1,470,10576,16,0.2901416578805138,45.00425531914894,0.09595790046726851
2025Q2,470,12163,20,0.44748811814833633,51.757446808510636,0.11035702944245339
2025Q3,470,7931,22,0.37098441523631837,33.748936170212765,0.07195935217529374
